afferent_coupling,avg_method_loc,avg_nesting_depth,blank_lines,bug_severity,cbo,code_smells,cognitive_complexity,comment_lines,comment_ratio,cyclomatic_complexity,defect_type,dit,efferent_coupling,file,halstead_difficulty,halstead_volume,has_comments,has_defect,instability,language,lcom,lines_of_code_actual,loc,maintainability_index,max_method_loc,max_nesting_depth,noc,num_bugs,num_classes,num_fields,num_interfaces,num_methods,num_private_methods,num_public_methods,num_static_methods,project,rfc,technical_debt_hours,total_lines,type,wmc
0,6.120689655172414,0.08620689655172414,115,none,0,2,25.2,17,0.0456989247311828,21,none,1,0,core\src\main\java\com\alibaba\druid\mock\MockConnection.java,0,0,True,0,0.0,java,0.0,240,372,100,16,5,0,0,1,46,0,58,3,55,0,druid,0,0.0,487,comprehensive_java_metrics,1
1,8.0,2.0,4,none,1,0,1.2,15,0.6521739130434783,1,none,1,1,core\src\main\java\com\alibaba\druid\mock\MockConnectionClosedException.java,0,0,True,0,1.0,java,0.0,4,23,100,18,2,0,0,1,1,0,0,0,0,0,druid,0,0.0,27,comprehensive_java_metrics,1
0,6.823529411764706,0.14705882352941177,78,none,0,2,31.2,16,0.06451612903225806,26,none,0,0,core\src\main\java\com\alibaba\druid\mock\MockDriver.java,0,0,True,0,0.0,java,0.0,154,248,100,16,5,0,0,1,45,0,34,1,27,2,druid,0,0.0,326,comprehensive_java_metrics,1
0,15.0,1.0,13,none,0,0,1.2,15,0.5,1,none,1,0,core\src\main\java\com\alibaba\druid\mock\MockDriverMBean.java,0,0,True,0,0.0,java,0.0,2,30,50.0,25,1,0,0,0,0,1,0,0,0,0,druid,0,0,43,comprehensive_java_metrics,0
2,4.0,1.0,3,none,2,0,1.2,15,0.7894736842105263,1,none,1,2,core\src\main\java\com\alibaba\druid\mock\MockNClob.java,0,0,True,0,1.0,java,0.0,1,19,100,14,1,0,0,1,0,0,0,0,0,0,druid,0,0.0,22,comprehensive_java_metrics,1
0,4.2592592592592595,0.1111111111111111,34,none,0,2,1.2,15,0.11538461538461539,1,none,0,0,core\src\main\java\com\alibaba\druid\mock\MockParameterMetaData.java,0,0,True,0,0.0,java,0.0,81,130,100,14,3,0,0,2,20,0,27,0,27,0,druid,0,0.0,164,comprehensive_java_metrics,1
0,9.166666666666666,0.5,22,none,0,0,8.4,15,0.21428571428571427,7,none,1,0,core\src\main\java\com\alibaba\druid\mock\MockPreparedStatement.java,0,0,True,0,0.0,java,0.0,33,70,100,19,3,0,0,1,6,0,6,0,6,0,druid,0,0.0,92,comprehensive_java_metrics,1
0,5.4,0.4,9,none,0,0,1.2,15,0.35714285714285715,1,none,0,0,core\src\main\java\com\alibaba\druid\mock\MockRef.java,0,0,True,0,0.0,java,0.0,18,42,100,15,2,0,0,1,5,0,5,0,5,0,druid,0,0.0,51,comprehensive_java_metrics,1
0,9.285714285714286,0.42857142857142855,17,none,0,0,7.199999999999999,15,0.1875,6,none,1,0,core\src\main\java\com\alibaba\druid\mock\MockResultSet.java,0,0,True,0,0.0,java,0.0,48,80,100,19,3,0,0,1,11,0,7,0,5,0,druid,0,0.0,97,comprehensive_java_metrics,1
2,7.0,2.0,5,none,2,0,1.2,15,0.6818181818181818,1,none,1,2,core\src\main\java\com\alibaba\druid\mock\MockResultSetMetaData.java,0,0,True,0,1.0,java,0.0,2,22,100,17,2,0,0,1,0,0,0,0,0,0,druid,0,0.0,27,comprehensive_java_metrics,1
