project,file,language,dataset_type,type,loc,comment_lines,blank_lines,total_lines,lines_of_code_actual,cyclomatic_complexity,max_nesting_depth,avg_nesting_depth,cognitive_complexity,wmc,dit,noc,cbo,rfc,lcom,num_classes,num_interfaces,num_methods,num_fields,num_public_methods,num_private_methods,num_static_methods,comment_ratio,has_comments,avg_method_loc,max_method_loc,maintainability_index,has_defect,defect_type,num_bugs,bug_severity,afferent_coupling,efferent_coupling,instability,halstead_volume,halstead_difficulty,technical_debt_hours,code_smells,defects
BasicDataSourceMBean,d:\GitIntel\druid\druid-wrapper\src\main\java\org\apache\commons\dbcp2,java,promise,comprehensive_java_metrics,4,0,3,7,1,1,1,1.0,1.2,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0.0,False,4.0,14,50.0,0,none,0,none,0,0,0.0,0,0,0,0,0
ComboPooledDataSource,d:\GitIntel\druid\druid-wrapper\src\main\java\com\mchange\v2\c3p0,java,promise,comprehensive_java_metrics,4,0,3,7,1,1,1,1.0,1.2,0,1,0,1,0,0.0,1,0,0,0,0,0,0,0.0,False,4.0,14,50.0,0,none,0,none,1,1,1.0,0,0,0,0,0
PooledDataSource,d:\GitIntel\druid\druid-wrapper\src\main\java\com\mchange\v2\c3p0,java,promise,comprehensive_java_metrics,4,0,3,7,1,1,1,1.0,1.2,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0.0,False,4.0,14,50.0,0,none,0,none,0,0,0.0,0,0,0,0,0
DemoApplication,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\demo,java,promise,comprehensive_java_metrics,19,10,3,22,6,1,2,2.0,1.2,1,1,0,1,1,0.0,1,0,1,0,1,0,1,0.5263157894736842,True,9.0,19,50.0,0,none,0,none,1,1,0.5,0,0,0,0,0
DruidDataSourceTestCase,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\testcase,java,promise,comprehensive_java_metrics,53,19,7,60,27,1,2,1.0,1.2,2,1,0,1,2,0.0,1,0,2,1,2,0,0,0.3584905660377358,True,17.0,27,50.0,0,none,0,none,1,1,0.3333333333333333,0,0,0,0,0
DruidFilterTestCase,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\testcase,java,promise,comprehensive_java_metrics,55,11,9,64,35,1,5,2.5,1.2,2,1,0,3,2,0.0,3,0,2,4,2,0,0,0.2,True,22.0,32,50.0,0,none,0,none,3,3,0.6,0,0,0,0,0
DruidMultiDataSourceTestCase,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\testcase,java,promise,comprehensive_java_metrics,55,18,12,67,25,1,2,1.0,1.2,2,1,0,1,2,0.0,1,0,2,2,2,0,0,0.32727272727272727,True,18.5,28,50.0,0,none,0,none,1,1,0.3333333333333333,0,0,0,0,0
Issue1796TestCase,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\testcase,java,promise,comprehensive_java_metrics,28,5,7,35,16,1,2,2.0,1.2,1,1,0,1,1,0.0,1,0,1,1,1,0,0,0.17857142857142858,True,23.0,33,50.0,0,none,0,none,1,1,0.5,0,0,0,0,0
InitConfigurer,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\demo\configurer,java,promise,comprehensive_java_metrics,19,0,5,24,14,1,3,3.0,1.2,1,1,0,1,1,0.0,1,0,1,1,1,0,0,0.0,False,19.0,29,50.0,0,none,0,none,1,1,0.5,0,0,0,0,0
Issue1796Configurer,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\demo\configurer,java,promise,comprehensive_java_metrics,15,1,4,19,10,1,2,2.0,1.2,1,1,0,1,1,0.0,1,0,1,0,1,0,0,0.06666666666666667,True,14.0,24,50.0,0,none,0,none,1,1,0.5,0,0,0,0,0
