cyclomatic_complexity,cognitive_complexity,max_nesting_depth,wmc,dit,noc,cbo,rfc,lcom,essential_complexity,afferent_coupling,efferent_coupling,instability,abstractness,file
5,6.0,2,0,0,0,3,5,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\vendor\NullExceptionSorter.java
23,27.599999999999998,5,0,1,0,4,39,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\vendor\OceanBaseOracleExceptionSorter.java
10,12.0,9,0,1,0,5,15,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\vendor\OceanBaseValidConnectionChecker.java
26,31.2,5,0,1,0,4,31,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\vendor\OracleExceptionSorter.java
9,10.799999999999999,9,0,1,0,6,18,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\vendor\OracleValidConnectionChecker.java
8,9.6,3,0,0,0,4,8,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\vendor\PGExceptionSorter.java
7,8.4,9,0,1,0,5,10,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\vendor\PGValidConnectionChecker.java
8,9.6,3,0,0,0,5,8,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\vendor\PhoenixExceptionSorter.java
8,9.6,4,0,0,0,5,15,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\vendor\SybaseExceptionSorter.java
5,6.0,2,0,0,0,7,15,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\xa\DruidPooledXAConnection.java
8,9.6,5,0,1,0,14,31,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\xa\DruidXADataSource.java
6,7.199999999999999,3,0,0,0,8,15,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\xa\JtdsXAConnection.java
11,13.2,4,0,0,0,8,45,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\pool\xa\JtdsXAResource.java
31,37.199999999999996,6,0,0,0,25,141,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\DruidDriver.java
5,6.0,1,0,0,0,0,9,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\DruidDriverMBean.java
5,6.0,1,0,1,0,1,2,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\CallableStatementProxy.java
6,7.199999999999999,3,0,1,0,7,457,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\CallableStatementProxyImpl.java
5,6.0,1,0,1,0,1,3,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ClobProxy.java
6,7.199999999999999,3,0,0,0,8,49,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ClobProxyImpl.java
5,6.0,1,0,1,0,3,8,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ConnectionProxy.java
13,15.6,11,0,1,0,7,247,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ConnectionProxyImpl.java
5,6.0,10,0,0,0,1,354,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\DatabaseMetaDataProxyImpl.java
5,6.0,1,0,0,0,5,15,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\DataSourceProxy.java
5,6.0,2,0,0,0,5,20,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\DataSourceProxyConfig.java
16,19.2,4,0,0,0,15,304,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\DataSourceProxyImpl.java
5,6.0,1,0,0,0,1,10,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\DataSourceProxyImplMBean.java
5,6.0,2,0,0,0,1,5,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\JdbcParameter.java
5,6.0,2,0,0,0,3,6,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\JdbcParameterDate.java
8,9.6,3,0,0,0,3,18,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\JdbcParameterDecimal.java
5,6.0,2,0,0,0,1,15,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\JdbcParameterImpl.java
7,8.4,3,0,0,0,2,11,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\JdbcParameterInt.java
7,8.4,3,0,0,0,2,12,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\JdbcParameterLong.java
5,6.0,4,0,0,0,2,26,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\JdbcParameterNull.java
5,6.0,2,0,0,0,2,7,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\JdbcParameterString.java
5,6.0,2,0,0,0,3,6,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\JdbcParameterTimestamp.java
5,6.0,1,0,1,0,1,2,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\NClobProxy.java
5,6.0,2,0,1,0,1,4,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\NClobProxyImpl.java
5,6.0,1,0,1,0,2,4,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\PreparedStatementProxy.java
57,68.39999999999999,5,0,1,0,11,477,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\PreparedStatementProxyImpl.java
5,6.0,1,0,1,0,1,3,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ResultSetMetaDataProxy.java
6,7.199999999999999,3,0,1,0,3,97,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ResultSetMetaDataProxyImpl.java
5,6.0,1,0,1,0,4,26,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ResultSetProxy.java
15,18.0,4,0,1,0,10,811,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ResultSetProxyImpl.java
5,6.0,1,0,0,0,0,1,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\StatementExecuteType.java
5,6.0,1,0,1,0,4,19,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\StatementProxy.java
22,26.4,4,0,1,0,7,228,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\StatementProxyImpl.java
6,7.199999999999999,2,0,1,0,0,3,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\TransactionInfo.java
5,6.0,1,0,1,0,2,8,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\WrapperProxy.java
14,16.8,3,0,0,0,5,35,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\WrapperProxyImpl.java
106,127.19999999999999,12,0,1,0,15,574,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\PagerUtils.java
19,22.8,7,0,0,0,5,100,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\SQLDialect.java
264,316.8,11,0,1,0,70,1257,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\SQLUtils.java
1,1.2,2,0,0,0,0,6,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\AutoIncrementType.java
1,1.2,1,0,0,0,0,0,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\ClusteringType.java
1,1.2,1,0,0,0,0,0,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\DistributedByType.java
3,3.5999999999999996,3,0,1,0,3,12,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLAdhocTableSource.java
11,13.2,6,0,1,0,1,42,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLAnnIndex.java
8,9.6,3,0,1,0,1,17,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLArgument.java
5,6.0,3,0,1,0,7,45,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLArrayDataType.java
5,6.0,2,0,1,0,1,11,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLCommentHint.java
4,4.8,3,0,1,0,1,14,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLComputeIncrementalStatsStatement.java
5,6.0,3,0,1,0,2,34,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLCurrentTimeExpr.java
3,3.5999999999999996,3,0,1,0,1,12,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLCurrentUserExpr.java
5,6.0,2,0,1,0,2,19,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLDataType.java
71,85.2,5,0,1,0,9,154,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLDataTypeImpl.java
5,6.0,6,0,1,0,1,22,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLDataTypeRefExpr.java
5,6.0,1,0,1,0,1,2,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLDbTypedObject.java
11,13.2,3,0,1,0,4,42,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLDeclareItem.java
5,6.0,1,0,1,0,1,5,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLExpr.java
5,6.0,3,0,0,0,1,18,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLExprComparor.java
6,7.199999999999999,3,0,1,0,1,15,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLExprImpl.java
5,6.0,1,0,1,0,0,2,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLHint.java
1,1.2,1,0,1,0,2,2,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLIndex.java
63,75.6,5,0,1,0,8,234,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLIndexDefinition.java
15,18.0,4,0,1,0,5,114,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLIndexOptions.java
1,1.2,2,0,1,0,1,4,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLJSONValueExpr.java
8,9.6,3,0,1,0,1,17,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLKeep.java
31,37.199999999999996,5,0,1,0,5,90,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLLimit.java
6,7.199999999999999,3,0,1,0,7,49,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLMapDataType.java
5,6.0,1,0,1,0,1,6,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLName.java
5,6.0,2,0,0,0,3,23,0.5,0,0,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLObject.java
