package,loc,lloc,sloc,comments,blank,file_count
org.apache.kafka.timeline,2300,2300,2300,691,421,20
org.apache.kafka.tools,26319,26319,26319,2062,4448,75
org.apache.kafka.tools.api,61,61,61,163,26,8
org.apache.kafka.tools.consumer,3847,3847,3847,459,642,23
org.apache.kafka.tools.consumer.group,6829,6829,6829,463,1010,19
org.apache.kafka.tools.consumer.group.share,228,228,228,37,24,2
org.apache.kafka.tools.filter,150,150,150,73,44,4
org.apache.kafka.tools.other,377,377,377,33,67,1
org.apache.kafka.tools.reassign,2838,2838,2838,676,464,14
org.apache.kafka.tools.streams,3520,3520,3520,299,523,8
org.apache.kafka.trogdor.agent,1431,1431,1431,262,206,5
org.apache.kafka.trogdor.basic,236,236,236,67,49,4
org.apache.kafka.trogdor.common,1356,1356,1356,476,242,16
org.apache.kafka.trogdor.coordinator,2069,2069,2069,401,278,7
org.apache.kafka.trogdor.fault,659,659,659,237,166,12
org.apache.kafka.trogdor.rest,1026,1026,1026,729,297,32
org.apache.kafka.trogdor.task,249,249,249,304,96,12
org.apache.kafka.trogdor.workload,5506,5506,5506,1808,1071,54
test.plugins,1528,1528,1528,910,524,43
